code	Item

001.11	Bovines, pure-bred, for breeding
001.11	Buffaloes, pure-bred, for breeding
001.11	Bulls, bovine, pure-bred, for breeding
001.11	Calves, bovine, pure-bred, for breeding
001.11	Carabao, pure-bred, for breeding
001.11	Heifers, pure-bred, for breeding
001.11	Oxen, pure-bred, for breeding
001.11	Cattle, dairy, pure-bred, for breeding
001.11	Cattle, pure-bred, for breeding
001.11	Cows, bovine, pure-bred, for breeding
001.19	Bovines, live, other than pure-bred breeding stock
001.19	Buffaloes, live, other than pure-bred breeding stock
001.19	Bullocks, live
001.19	Bulls, bovine, live, other than pure-bred breeding stock
001.19	Calves, bovine, live, other than pure-bred breeding stock
001.19	Carabao, live, other than pure-bred breeding stock
001.19	Cattle, dairy, live, other than pure-bred breeding stock
001.19	Cattle, live, other than pure-bred breeding stock
001.19	Cows, bovine, live, other than pure-bred breeding stock
001.19	Heifers, live, other than pure-bred breeding stock
001.19	Oxen, live, other than pure-bred breeding stock
001.19	Steers, live
001.21	Ewes, live
001.21	Lambs, live
001.21	Rams, live
001.21	Sheep, domestic or wild, live
001.21	Sheep, pure-bred, for breeding
001.21	Wethers, live
001.22	Goats, domestic or wild, live
001.22	Goats, pure-bred, for breeding
001.22	Kids, live
001.31	Boars, pure-bred, for breeding
001.31	Gilts, pure-bred, for breeding
001.31	Piglets, pure-bred, for breeding
001.31	Pigs, pure-bred, for breeding
001.31	Sows, pure-bred, for breeding
001.39	Boars, live, other than pure-bred breeding stock
001.39	Gilts, live, other than pure-bred breeding stock
001.39	Hogs, live
001.39	Piglets, live, other than pure-bred breeding stock
001.39	Pigs, live, other than pure-bred breeding stock
001.39	Sows, live, other than pure-bred breeding stock
001.39	Swine, domestic or wild, other than pure-bred breeding stock
001.41	Chicks (of domestic hens, ducks, geese, turkeys or guinea-fowls), live, of a unit weight not exceeding 185 g
001.41	Poults, turkey, live, of a unit weight not exceeding 185 g
001.41	Poultry (i.e., domestic chickens, ducks, geese, turkeys or guinea-fowls), live, of a unit weight not exceeding 185 g
001.49	Capons, live, of a unit weight exceeding 185 g
001.49	Chickens, live, of a unit weight exceeding 185 g
001.49	Cockerels (domestic fowls), live, of a unit weight exceeding 185 g
001.49	Ducks, domestic, live, of a unit weight exceeding 185 g
001.49	Fowls, domestic, live, of a unit weight exceeding 185 g
001.49	Geese, domestic, live, of a unit weight exceeding 185 g
001.49	Guinea-fowls, live, of a unit weight exceeding 185 g
001.49	Hens (domestic fowls), live, of a unit weight exceeding 185 g
001.49	Poultry (i.e., domestic chickens, ducks, geese, turkeys or guinea-fowls), of a unit weight exceeding 185 g
001.49	Pullets, live, of a weight exceeding 185 g
001.49	Roosters, live, of a unit weight exceeding 185 g
001.49	Turkeys, domestic, live, of a unit weight exceeding 185 g
001.51	Colts, live
001.51	Foals, live
001.51	Geldings, live
001.51	Horses, live
001.51	Mares, live
001.51	Ponies, live
001.51	Stallions, live
001.52	Asses, live
001.52	Burros, live
001.52	Donkeys, live
001.52	Hinnies, live
001.52	Mules, live
001.9	Animals for fur farms, live
001.9	Antelope, live
001.9	Bears, live
001.9	Bees, live
001.9	Birds, game, live
001.9	Blackbirds, live
001.9	Budgerigars, live
001.9	Camels, live
001.9	Canaries, live
001.9	Cats, live
001.9	Chamois, live
001.9	Cockatoos, live
001.9	Deer, live
001.9	Dogs, live
001.9	Doves, live
001.9	Ducks, wild, live
001.9	Elephants, live
001.9	Finches, live
001.9	Foxes, live
001.9	Frogs, live
001.9	Geese, wild, live
001.9	Grouse, live
001.9	Rats, live
001.9	Reindeer, live
001.9	Reptiles, live
001.9	Silkworms, live
001.9	Snipe, live
001.9	Swans, live
001.9	Teals, live
001.9	Thrushes, live
001.9	Guinea-pigs, live
001.9	Hamsters, live
001.9	Hares, live
001.9	Hippopotamuses, live
001.9	Hummingbirds, live
001.9	Insects, live
001.9	Larks, live
001.9	Lions, live
001.9	Marine mammals, live
001.9	Mice, live
001.9	Minks, live
001.9	Monkeys, live
001.9	Ortolans, live
001.9	Parakeets, live
001.9	Parrots, live
001.9	Partridges, live
001.9	Peacocks, live
001.9	Pheasants, live
001.9	Pigeons, live
001.9	Porpoises, live
001.9	Quail, live
001.9	Rabbits, live
001.9	Tigers, live
001.9	Tits, live
001.9	Tortoises, live
001.9	Turtles, live
001.9	Whales, live
001.9	Widgeons, live
001.9	Woodcocks, live
001.9	Zebras, live
011.11	Beef, with bone in, fresh or chilled
011.11	Meat, of bovine animals, with bone in, fresh or chilled
011.11	Meat, of bovine animals, with bone in, packed with salt as a temporary preservative during transport
011.11	Meat, of buffalo, with bone in, fresh or chilled
011.11	Veal, with bone in, fresh or chilled
011.12	Beef, boneless, fresh or chilled
011.12	Meat, of bovine animals, boneless, fresh or chilled
011.12	Meat, of bovine animals, boneless, packed with salt as a temporary preservative during transport
011.12	Meat, of buffalo, boneless, fresh or chilled
011.12	Veal, boneless, fresh or chilled
011.21	Beef, with bone in, frozen
011.21	Meat, of bovine animals, with bone in, frozen
011.21	Meat, of buffalo, with bone in, frozen
011.21	Veal, with bone in, frozen
011.22	Beef, boneless, frozen
011.22	Meat, of bovine animals, boneless, frozen
011.22	Meat, of buffalo, boneless, frozen
011.22	Veal, boneless, frozen
012.11	Lamb, fresh or chilled
012.11	Mutton, fresh or chilled
012.11	Meat, of sheep, fresh or chilled
012.12	Lamb, frozen
012.12	Meat, of sheep, frozen
012.12	Mutton, frozen
012.13	Meat, of goats, fresh, chilled or frozen
012.13	Meat, of kids, fresh, chilled or frozen
012.21	Ham, fresh or chilled
012.21	Meat, of boars, fresh or chilled
012.21	Meat, of pigs, fresh or chilled
012.21	Meat, of swine, fresh or chilled
012.21	Pork, fresh or chilled
012.22	Ham, frozen
012.22	Meat, of boars, frozen
012.22	Meat, of pigs, frozen
012.22	Meat, of swine, frozen
012.22	Pork, frozen
012.31	Capons, whole, fresh or chilled
012.31	Chickens, whole, fresh or chilled
012.31	Ducks, domestic, whole, fresh or chilled
012.31	Fowls, domestic (Gallus domesticus spp.), whole, fresh or chilled
012.31	Geese, domestic, whole, fresh or chilled
012.31	Guinea-fowls, whole, fresh or chilled
012.31	Turkeys, domestic, whole, fresh or chilled
012.32	Capons, whole, frozen
012.32	Chickens, whole, frozen
012.32	Ducks, domestic, whole, frozen
012.32	Fowls, domestic (Gallus domesticus spp.), whole, frozen
012.32	Geese, domestic, whole, frozen
012.32	Guinea-fowls, whole, frozen
012.32	Turkeys, domestic, whole, frozen
012.33	Livers, fatty, of ducks, fresh or chilled
012.33	Livers, fatty, of geese, fresh or chilled
012.34	Capons, cut up, fresh or chilled
012.34	Chickens, cut up, fresh or chilled
012.34	Ducks, domestic, cut up, fresh or chilled
012.34	Fowls, domestic (Gallus domesticus spp.), cut up, fresh or chilled
012.34	Geese, domestic, cut up, fresh or chilled
012.34	Guinea-fowls, cut up, fresh or chilled
012.34	Livers, of chicken, fresh or chilled
012.34	Offal, of domestic poultry (excl. fatty livers of geese or ducks), fresh or chilled
012.34	Skin, of domestic poultry, edible, fresh or chilled
012.34	Turkeys, domestic, cut up, fresh or chilled
012.35	Capons, cut up, frozen
012.35	Chickens, cut up, frozen
012.35	Ducks, domestic, cut up, frozen
012.35	Fowls, domestic (Gallus domesticus spp.), cut up, frozen
012.35	Geese, domestic, cut up, frozen
012.35	Guinea-fowls, cut up, frozen
012.35	Offal, of domestic poultry (excl. liver), frozen
012.35	Skin, of domestic poultry, edible, frozen
012.35	Turkeys, domestic, cut up, frozen
012.36	Livers, of chicken, frozen
012.36	Livers, of domestic geese, frozen
012.36	Livers, of domestic poultry, frozen
012.36	Livers, of duck, frozen
012.4	Meat, of asses, fresh, chilled or frozen
012.4	Meat, of hinnies, fresh, chilled or frozen
012.4	Meat, of horses, fresh, chilled or frozen
012.4	Meat, of mules, fresh, chilled or frozen
012.51	Brains, of bovine animals, fresh or chilled
012.51	Cauls, of bovine animals, fresh or chilled
012.51	Cords, spinal, of bovine animals, fresh or chilled
012.51	Ears, of bovine animals, fresh or chilled
012.51	Feet, of bovine animals, fresh or chilled
012.51	Glands, pituitary, of bovine animals, fresh or chilled
012.51	Livers, of bovine animals, fresh or chilled
012.51	Lungs, of bovine animals, fresh or chilled
012.51	Organs, reproductive, of bovine animals, fresh or chilled
012.51	Ovaries, of bovine animals, fresh or chilled
012.51	Pancreases, of bovine animals, fresh or chilled
012.51	Skin, edible, of bovine animals, fresh or chilled
012.51	Glands, thymus, of bovine animals, fresh or chilled
012.51	Glands, thyroid, of bovine animals, fresh or chilled
012.51	Heads, and cuts thereof, of bovine animals, fresh or chilled
012.51	Hearts, of bovine animals, fresh or chilled
012.51	Kidneys, of bovine animals, fresh or chilled
012.51	Skirts, of bovine animals, fresh or chilled
012.51	Spleens, of bovine animals, fresh or chilled
012.51	Sweetbreads, of bovine animals, fresh or chilled
012.51	Tails, of bovine animals, fresh or chilled
012.51	Testes, of bovine animals, fresh or chilled
012.51	Throats, of bovine animals, fresh or chilled
012.51	Tongues, of bovine animals, fresh or chilled
012.51	Udders, of bovine animals, fresh or chilled
012.52	Brains, of bovine animals, frozen
012.52	Cauls, of bovine animals, frozen
012.52	Cords, spinal, of bovine animals, frozen
012.52	Ears, of bovine animals, frozen
012.52	Feet, of bovine animals, frozen
012.52	Glands, pituitary, of bovine animals, frozen
012.52	Glands, thymus, of bovine animals, frozen
012.52	Glands, thyroid, of bovine animals, frozen
012.52	Heads, and cuts thereof, of bovine animals, frozen
012.52	Hearts, of bovine animals, frozen
012.52	Kidneys, of bovine animals, frozen
012.52	Livers, of bovine animals, frozen
012.52	Lungs, of bovine animals, frozen
012.52	Organs, reproductive, of bovine animals, frozen
012.52	Ovaries, of bovine animals, frozen
012.52	Pancreases, of bovine animals, frozen
012.52	Skin, edible, of bovine animals, frozen
012.52	Skirts, of bovine animals, frozen
012.52	Spleens, of bovine animals, frozen
012.52	Sweetbreads, of bovine animals, frozen
012.52	Tails, of bovine animals, frozen
012.52	Testes, of bovine animals, frozen
012.52	Throats, of bovine animals, frozen
012.52	Tongues, of bovine animals, frozen
012.52	Udders, of bovine animals, frozen
012.52	Uteri, of bovine animals, frozen
012.53	Brains, of swine, fresh or chilled
012.53	Cauls, of swine, fresh or chilled
012.53	Cords, spinal, of swine, fresh or chilled
012.53	Ears, of swine, fresh or chilled
012.53	Feet, of swine, fresh or chilled
012.53	Glands, pituitary, of swine, fresh or chilled
012.53	Glands, thymus, of swine, fresh or chilled
012.53	Glands, thyroid, of swine, fresh or chilled
012.53	Heads, and cuts thereof, of swine, fresh or chilled
012.53	Hearts, of swine, fresh or chilled
012.53	Kidneys, of swine, fresh or chilled
012.53	Livers, of swine, fresh or chilled
012.53	Lungs, of swine, fresh or chilled
012.53	Organs, reproductive, of swine, fresh or chilled
012.53	Ovaries, of swine, fresh or chilled
012.53	Pancreases, of swine, fresh or chilled
012.53	Skin, edible, of swine, fresh or chilled
